Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
_DJCD,Dow Jones-AIG Commodity Index,Commodity Indices,United States Dollar,United States,,,,,,,Index Number,Units,Stock,none,Daily From Oct 1933 To Feb 2014<BR>,"This index replaced the Dow Jones Futures Price Index, and was renamed and rebased in 1999. The index was back-calculated to 1990.  Data in the index from 1933 to 1989 is from the Dow Jones Futures Index, and data from 1990 on is from the Dow Jones-AIG Commodity Index. The Dow Jones - AIG Commodity Index (DJ-AIGCI)Â® is designed to be a highly liquid and diversified benchmark for commodities as an asset class. Commodities have demonstrated a low historic correlation with stocks and bonds and positive returns over time. Including commodities in a traditional investment portfolio may increase diversification and reduce overall portfolio risk. The DJ-AIGCI is composed of futures contracts on 19 physical commodities. Unlike equities, which entitle the holder to a continuing stake in a corporation, commodity futures contracts specify a delivery date for the underlying physical commodity. In order to avoid delivery and maintain a long futures position, nearby contracts must be sold and contracts that have not yet reached the delivery period must be purchased. This process is known as ""rolling"" a futures position. The DJ-AIGCI is a ""rolling index."" The DJ-AIGCI is composed of commodities traded on U.S. exchanges, with the exception of aluminum, nickel and zinc, which trade on the London Metal Exchange (LME). Trading hours for the U.S. commodity exchanges are between 8:00 am and 3:00 pm ET. A daily settlement price for the index is published at approximately 5:00 pm ET.",,Currency converted to CAD using Canada Dollar per US Dollar (USDCAD)
Date,Ticker,Open,High,Low,Close,Volume,Openint
01/02/2009,_DJCD,141.3973514,145.7977192,141.0705433,145.5523094,,
01/05/2009,_DJCD,140.9346792,143.6946084,139.8601848,143.2928616,,
01/06/2009,_DJCD,145.250497,146.631624,144.137067,146.236001,,
01/07/2009,_DJCD,147.2591826,147.2962524,142.0861518,142.210515,,
01/08/2009,_DJCD,139.5523805,140.0452443,137.4075976,137.9535209,,
01/09/2009,_DJCD,139.9662921,140.9644641,138.4951767,140.5378644,,
01/12/2009,_DJCD,141.4970442,141.4994768,137.7836803,137.8371975,,
01/13/2009,_DJCD,137.2991235,140.3268174,137.2905534,138.9127509,,
01/14/2009,_DJCD,141.3993456,141.4205565,137.4029625,139.4541813,,
01/15/2009,_DJCD,140.1113961,140.6184156,137.0567601,139.4629119,,
01/16/2009,_DJCD,140.4936246,142.2434608,139.7896962,140.8218749,,
01/20/2009,_DJCD,140.0593614,143.0447376,138.9219546,139.8174408,,
01/21/2009,_DJCD,138.2214704,139.6741996,136.8076648,139.597608,,
01/22/2009,_DJCD,139.656608,139.6829252,135.6225572,138.2179344,,
01/23/2009,_DJCD,135.27459,140.245368,134.649242,139.392285,,
01/26/2009,_DJCD,138.9252606,142.6566358,138.3530838,139.6796048,,
01/27/2009,_DJCD,138.3521328,139.1593014,135.2265012,135.3185037,,
01/28/2009,_DJCD,133.7324728,136.0661036,133.5988448,135.152574,,
01/29/2009,_DJCD,134.1787524,135.9382892,133.5351388,135.6348364,,
01/30/2009,_DJCD,135.4877883,137.4787224,135.2044206,136.077831,,
02/02/2009,_DJCD,135.7746939,137.3536572,135.1336671,135.9548274,,
02/03/2009,_DJCD,135.0122748,135.5638076,134.1628158,135.1452336,,
02/04/2009,_DJCD,136.317026,137.9325713,135.405124,135.8549135,,
02/05/2009,_DJCD,136.3886156,137.7187436,134.9501068,137.6349948,,
02/06/2009,_DJCD,137.2349968,140.167379,135.9801872,138.6454322,,
02/09/2009,_DJCD,137.586007,139.3598592,137.0911764,137.1629086,,
02/10/2009,_DJCD,141.123206,142.225916,137.629422,137.752776,,
02/11/2009,_DJCD,136.969729,138.4111105,136.0199815,136.3502205,,
02/12/2009,_DJCD,136.4175792,136.621464,134.9381712,135.5759328,,
02/13/2009,_DJCD,134.4249256,134.6841496,133.117696,133.512704,,
02/17/2009,_DJCD,134.3991588,134.4383614,130.8114886,130.9101274,,
02/18/2009,_DJCD,129.9430026,130.285777,128.9008172,129.2372906,,
02/19/2009,_DJCD,130.8802796,131.0867392,128.8509328,130.9973573,,
02/20/2009,_DJCD,127.743577,128.771488,126.8994895,128.656442,,
02/23/2009,_DJCD,129.6967452,130.7378286,127.6183278,128.2082334,,
02/24/2009,_DJCD,127.1192226,129.1583292,127.1005836,129.1421754,,
02/25/2009,_DJCD,130.8346788,132.7861786,129.926157,132.3187234,,
02/26/2009,_DJCD,132.1138896,134.1927972,131.687094,133.5319524,,
02/27/2009,_DJCD,133.7716068,135.1527033,132.5508957,134.9121252,,
03/02/2009,_DJCD,134.895965,135.161808,131.2167495,131.6297095,,
03/03/2009,_DJCD,133.1608518,134.1578319,131.7293901,133.551368,,
03/04/2009,_DJCD,132.9357717,136.1961936,132.9306753,136.0891692,,
03/05/2009,_DJCD,136.0147968,136.9388664,134.4244176,134.9734464,,
03/06/2009,_DJCD,135.9741625,136.8290625,135.051025,136.261275,,
03/09/2009,_DJCD,136.842548,138.5046085,135.839334,136.2304835,,
03/10/2009,_DJCD,135.0369077,136.5985686,133.9492538,134.2105982,,
03/11/2009,_DJCD,134.481675,135.02009,131.77932,131.952795,,
03/12/2009,_DJCD,131.3807802,135.7760682,130.9489176,135.5831355,,
03/13/2009,_DJCD,136.2815412,136.9442011,134.2655797,134.7463579,,
03/16/2009,_DJCD,134.1754172,137.11027,133.6400736,136.5622104,,
03/17/2009,_DJCD,136.2938179,137.6515409,135.6086119,137.3812652,,
03/18/2009,_DJCD,134.7149808,134.8034255,131.7340207,132.5624112,,
03/19/2009,_DJCD,137.423365,140.740267,137.0725865,139.4201995,,
03/20/2009,_DJCD,139.704334,140.76663,138.968421,139.992246,,
03/23/2009,_DJCD,139.5120345,140.38439,138.6629255,139.728594,,
03/24/2009,_DJCD,139.2118776,139.6594884,138.1998345,139.5008571,,
03/25/2009,_DJCD,137.9037054,139.5543174,137.4171444,138.491274,,
03/26/2009,_DJCD,139.8691495,140.8478315,138.185964,138.820386,,
03/27/2009,_DJCD,138.1030616,138.4147534,136.5830984,136.8240076,,
03/30/2009,_DJCD,136.9360861,137.4824022,134.8454492,135.1987252,,
03/31/2009,_DJCD,136.9977476,138.5874903,135.0575303,138.4021674,,
04/01/2009,_DJCD,136.84986,137.0376,135.56088,136.94562,,
04/02/2009,_DJCD,137.0336772,139.1005371,137.0299665,138.8976855,,
04/03/2009,_DJCD,137.839245,139.8175105,137.094168,139.7634125,,
04/06/2009,_DJCD,140.570784,140.6488032,137.3459904,138.4642656,,
04/07/2009,_DJCD,137.8265589,138.4179883,136.8020745,136.9666354,,
04/08/2009,_DJCD,135.531879,139.0295795,135.514582,137.5939285,,
04/09/2009,_DJCD,137.849074,139.0991864,137.7474488,138.5053524,,
04/13/2009,_DJCD,138.0191502,138.9327804,136.4565864,138.0276888,,
04/14/2009,_DJCD,138.0888864,138.7938184,136.7665312,137.7668054,,
04/15/2009,_DJCD,136.7724457,137.2617818,135.7745367,136.7772549,,
04/16/2009,_DJCD,137.17891,138.00534,136.57996,137.05428,,
04/17/2009,_DJCD,137.1477224,138.192632,137.1452952,137.83462,,
04/20/2009,_DJCD,137.8797134,138.233953,135.570963,135.7864794,,
04/21/2009,_DJCD,135.052376,136.499432,133.5546112,135.7734304,,
04/22/2009,_DJCD,135.8605872,136.6607742,135.2837082,136.466,,
04/23/2009,_DJCD,135.0829025,135.1550772,133.5342047,134.232709,,
04/27/2009,_DJCD,131.903409,133.920501,130.747122,132.604263,,
04/28/2009,_DJCD,130.9037652,131.6982456,130.3680096,131.1856776,,
04/29/2009,_DJCD,130.837338,132.5211744,130.5713424,132.2407356,,
04/30/2009,_DJCD,131.9921838,132.0423192,130.5036399,131.9886027,,
05/01/2009,_DJCD,131.4904003,135.4735214,131.4347006,135.2542779,,
05/04/2009,_DJCD,134.2519102,135.8156525,133.9070188,135.7722478,,
05/05/2009,_DJCD,135.8970088,136.5647496,134.735516,135.4984804,,
05/06/2009,_DJCD,135.1758562,138.2861777,135.1746891,138.278008,,
05/07/2009,_DJCD,140.3884966,141.040966,138.3246821,139.5419234,,
05/08/2009,_DJCD,138.3535797,139.0194876,137.1367739,138.9711834,,
05/11/2009,_DJCD,138.9070749,140.5608556,138.5744514,140.4558166,,
05/12/2009,_DJCD,141.927864,142.532208,139.690629,140.8737486,,
05/13/2009,_DJCD,141.8797688,142.3197188,139.9709724,140.4425988,,
05/14/2009,_DJCD,138.31155,140.85864,137.89035,140.63634,,
05/15/2009,_DJCD,140.2040073,141.2757143,138.3314643,138.6117569,,
05/18/2009,_DJCD,137.1427904,139.5798096,136.9974529,139.349595,,
05/19/2009,_DJCD,139.6530024,140.0089888,137.8164362,138.5411228,,
05/20/2009,_DJCD,137.3334204,139.4069292,136.9669026,138.523176,,
05/21/2009,_DJCD,135.8683338,136.1340876,134.2931179,135.7150143,,
05/22/2009,_DJCD,135.206729,135.4854596,134.1354632,135.0589682,,
05/26/2009,_DJCD,132.6537284,135.5204755,132.1236759,135.4066537,,
05/27/2009,_DJCD,136.2811296,136.6983648,135.4152544,136.2171984,,
05/28/2009,_DJCD,134.919882,137.591254,134.736072,137.151224,,
05/29/2009,_DJCD,136.1238435,136.620021,135.446643,136.238346,,
06/01/2009,_DJCD,138.551621,140.9238935,138.3705648,140.8628143,,
06/02/2009,_DJCD,139.2311232,139.4333824,138.2241536,138.974784,,
06/03/2009,_DJCD,141.653876,141.8074424,137.3017152,138.20976,,
06/04/2009,_DJCD,136.6751408,140.8250536,136.5566972,140.3819868,,
06/05/2009,_DJCD,143.3836783,144.6200628,140.9467141,142.1685529,,
06/08/2009,_DJCD,140.2767764,141.5014672,139.9586024,140.4274904,,
06/09/2009,_DJCD,140.6303211,141.7465662,140.1566622,141.5886799,,
06/10/2009,_DJCD,143.4838808,143.502727,141.6757542,142.2289456,,
06/11/2009,_DJCD,142.6243924,145.0461455,141.9927745,144.5291668,,
06/12/2009,_DJCD,144.7127946,145.1804112,143.6175873,144.1914804,,
06/15/2009,_DJCD,143.5210686,144.519669,142.0356222,142.691166,,
06/16/2009,_DJCD,145.2660651,145.6371774,142.1643834,142.6433112,,
06/17/2009,_DJCD,141.0154137,143.2395495,140.7178818,143.0608041,,
06/18/2009,_DJCD,142.6438984,143.6268216,142.189806,142.976824,,
06/19/2009,_DJCD,144.1747265,144.418773,141.2915725,141.581023,,
06/22/2009,_DJCD,141.7968445,141.7968445,139.0214265,139.652938,,
06/23/2009,_DJCD,140.0132328,141.452532,139.0061832,141.1812264,,
06/24/2009,_DJCD,142.1880824,143.6523543,142.0320629,142.5417266,,
06/25/2009,_DJCD,142.8284648,144.5345202,134.7910739,144.1039663,,
06/26/2009,_DJCD,144.2643464,144.5144172,142.0874628,142.8042556,,
06/29/2009,_DJCD,144.0105792,144.8363916,143.776946,144.3714384,,
06/30/2009,_DJCD,145.6391625,145.9414125,140.6752875,142.4481,,
07/01/2009,_DJCD,142.1354257,143.7166348,141.2420483,141.9264351,,
07/02/2009,_DJCD,142.0092576,142.155846,140.3106936,140.7935046,,
07/06/2009,_DJCD,135.9174913,137.8071503,135.7215696,136.9237637,,
07/07/2009,_DJCD,138.9826472,138.9826472,135.1944472,135.501,,
07/08/2009,_DJCD,134.741695,134.7813764,131.9336524,132.1589027,,
07/09/2009,_DJCD,133.1284966,133.8429421,131.7332949,133.3666451,,
07/10/2009,_DJCD,131.9417676,132.8330852,131.3599676,132.6376004,,
07/13/2009,_DJCD,130.6391623,131.5728666,129.6386826,131.3345475,,
07/14/2009,_DJCD,131.289774,131.706718,130.366379,130.973667,,
07/15/2009,_DJCD,130.62357,131.4867924,130.2809508,130.6947636,,
07/16/2009,_DJCD,130.5810856,132.3073141,130.3352796,132.2425107,,
07/17/2009,_DJCD,131.4829566,134.2895859,131.1411735,133.9177437,,
07/20/2009,_DJCD,134.9376974,135.0173726,132.897127,134.5891184,,
07/21/2009,_DJCD,133.9273654,135.552159,132.5398888,133.4229288,,
07/22/2009,_DJCD,132.4974892,134.209255,131.7158158,133.7046304,,
07/23/2009,_DJCD,132.5165814,134.6549652,132.0882507,134.188488,,
07/24/2009,_DJCD,134.055312,134.5367201,133.4511068,134.0074972,,
07/27/2009,_DJCD,134.0673192,134.212133,132.980135,133.6944777,,
07/28/2009,_DJCD,133.5370834,133.8881159,131.415767,132.3219709,,
07/29/2009,_DJCD,131.954076,132.526746,129.6699408,130.3244208,,
07/30/2009,_DJCD,131.196786,134.560584,131.117727,134.464197,,
07/31/2009,_DJCD,134.5573112,136.393712,132.3566478,136.3021075,,
08/03/2009,_DJCD,138.3640938,140.4549972,137.9623249,139.8688622,,
08/04/2009,_DJCD,139.0602202,141.9583572,138.8523686,141.178378,,
08/05/2009,_DJCD,141.76751,142.32819,140.38079,142.22226,,
08/06/2009,_DJCD,142.5635445,142.9385841,139.6839301,140.5299246,,
08/07/2009,_DJCD,140.7840853,142.7430385,140.4975938,140.8035451,,
08/10/2009,_DJCD,142.4312334,142.7533406,140.8598726,141.2342134,,
08/11/2009,_DJCD,143.9671515,144.0596775,141.2993185,141.9139555,,
08/12/2009,_DJCD,139.6865736,142.2700986,139.4276772,141.718584,,
08/13/2009,_DJCD,144.2410866,144.5908752,142.2336042,142.2651069,,
08/14/2009,_DJCD,143.782002,143.861058,139.80834,140.007078,,
08/17/2009,_DJCD,138.1257592,138.8225025,137.1653833,138.650809,,
08/18/2009,_DJCD,138.4620438,139.1030004,136.8596523,138.8640183,,
08/19/2009,_DJCD,136.700861,139.542183,135.7169055,139.288259,,
08/20/2009,_DJCD,138.553086,138.732573,136.7832354,137.0225514,,
08/21/2009,_DJCD,137.8017792,138.8567376,137.5672239,137.9098692,,
08/24/2009,_DJCD,138.12903,138.9772332,137.7135396,138.5875764,,
08/25/2009,_DJCD,139.5014412,140.0296746,137.3200329,137.9526087,,
08/26/2009,_DJCD,139.3464288,139.3958253,137.9205165,138.8799063,,
08/27/2009,_DJCD,137.4125632,137.969312,135.8477946,137.8018524,,
08/28/2009,_DJCD,140.092104,140.4337122,138.7071174,139.5289416,,
08/31/2009,_DJCD,138.3458945,138.353556,136.5093235,137.5994455,,
09/01/2009,_DJCD,138.321518,139.8609005,136.1906595,136.266801,,
09/02/2009,_DJCD,135.93268,137.05978,135.169125,136.568055,,
09/03/2009,_DJCD,137.7401011,137.7401011,135.6225828,136.2453823,,
09/04/2009,_DJCD,134.214592,134.538816,132.688128,133.748928,,
09/08/2009,_DJCD,135.267827,136.7327085,135.1307305,135.425434,,
09/09/2009,_DJCD,135.682489,136.4405339,135.1196164,135.1778446,,
09/10/2009,_DJCD,134.5250448,135.6884208,133.389676,135.5807008,,
09/11/2009,_DJCD,136.02654,137.1299525,132.8971545,133.262088,,
09/14/2009,_DJCD,133.1436944,134.5746016,132.8187344,134.4294528,,
09/15/2009,_DJCD,134.0564344,136.280592,133.2843064,135.7465368,,
09/16/2009,_DJCD,135.7143988,138.2095408,135.6621501,138.1274357,,
09/17/2009,_DJCD,137.8819372,138.5723164,136.9486468,137.378003,,
09/18/2009,_DJCD,137.1227648,137.6101376,136.1084736,136.282688,,
09/21/2009,_DJCD,136.0113705,136.0286233,134.6268333,135.0042383,,
09/22/2009,_DJCD,135.716224,136.4312512,134.9979904,136.117024,,
09/23/2009,_DJCD,136.068125,136.253025,134.5814,135.5919,,
09/24/2009,_DJCD,136.6259804,136.9930408,133.7254408,134.7078992,,
09/25/2009,_DJCD,135.230541,135.516383,133.841698,134.593397,,
09/28/2009,_DJCD,133.3320402,134.9658996,133.095532,134.3073653,,
09/29/2009,_DJCD,134.013834,135.143883,133.37181,134.605971,,
09/30/2009,_DJCD,133.880491,136.512369,132.453376,136.493127,,
10/01/2009,_DJCD,137.0634804,138.2413536,135.0642384,135.9343692,,
10/02/2009,_DJCD,133.7883918,135.1182126,132.5308908,134.0334156,,
10/05/2009,_DJCD,132.7199664,135.0919728,131.974968,134.383368,,
10/06/2009,_DJCD,134.8520854,136.5757292,134.5819384,135.0777376,,
10/07/2009,_DJCD,135.6160979,136.5702066,134.3627026,134.9580919,,
10/08/2009,_DJCD,135.3031056,137.8533168,134.3370528,137.1511152,,
10/09/2009,_DJCD,135.3879544,136.0238184,134.2475688,134.6541048,,
10/12/2009,_DJCD,135.772335,136.871505,135.38835,136.43784,,
10/13/2009,_DJCD,137.1717369,137.1841173,134.2829769,135.5674434,,
10/14/2009,_DJCD,135.0431949,135.6104355,134.7595746,135.2336403,,
10/15/2009,_DJCD,135.1680064,138.0930944,134.8734304,137.7964512,,
10/16/2009,_DJCD,137.6536116,139.2672864,137.3426916,139.2102844,,
10/19/2009,_DJCD,138.6074139,140.6091246,138.4429179,140.4065889,,
10/20/2009,_DJCD,143.2420506,143.9189136,141.7351122,142.5536442,,
10/21/2009,_DJCD,140.4663702,145.5062986,140.4392626,144.8233956,,
10/22/2009,_DJCD,144.65352,144.951915,143.295561,144.420039,,
10/23/2009,_DJCD,146.3490595,146.838937,144.3263395,144.664513,,
10/26/2009,_DJCD,147.112728,147.964992,143.786976,144.32952,,
10/27/2009,_DJCD,144.167658,144.73179,142.810548,143.5566924,,
10/28/2009,_DJCD,144.1192788,144.7776687,142.1797854,142.3624913,,
10/29/2009,_DJCD,140.990179,144.24773,140.520699,143.800657,,
