Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
_DJA3D,Dow Jones Composite Average (Actual),Stock Indices - Composites,United States Dollar,United States,,,,,,,Index Number ,Units,Stock,none,Daily From Nov 1933 To Jan 2019<BR>,"The Dow Jones Composite offers an interesting contrast to the S&P Composite due to the different weights.  Industrials make up 80% of the stocks in the S&P Composite, but less than 50% of the Dow Jones Composite.  Consequently, the similarities in movement between the Dow Jones Composite and the Dow Jones Industrials are much smaller than the similarities between the S&P Composite and the S&P Industrials.  The DJCA originally had 70 stocks in it because the Utilities had 20 stocks in it until it was reorganized to include only electric utilities rather than all types of utilities including telephones, and to exclude holding companies.  The Dow Jones Composite Average has been composed of 65 stocks since June 2, 1938.",,Currency converted to CAD using Canada Dollar per US Dollar (USDCAD)
Date,Ticker,Open,High,Low,Close,Volume,Openint
01/02/2009,_DJA3D,3748.391715,3871.181658,3745.232975,3856.857987,24724,
01/05/2009,_DJA3D,3772.889778,3781.685418,3725.0724,3755.310384,27554,
01/06/2009,_DJA3D,3743.30428,3812.822585,3742.3093,3778.685295,25605,
01/07/2009,_DJA3D,3812.939838,3812.939838,3683.637984,3701.694564,30896,
01/08/2009,_DJA3D,3649.774349,3649.821513,3599.969165,3644.079296,26917,
01/09/2009,_DJA3D,3672.512448,3683.444808,3595.724502,3606.775692,24157,
01/12/2009,_DJA3D,3691.798901,3692.577333,3597.584303,3619.915571,31550,
01/13/2009,_DJA3D,3643.357641,3661.51401,3575.910954,3609.346587,34968,
01/14/2009,_DJA3D,3677.782905,3677.832813,3533.798325,3564.529176,40697,
01/15/2009,_DJA3D,3575.92716,3629.658708,3486.403791,3600.526995,49252,
01/16/2009,_DJA3D,3589.972435,3649.406957,3541.159244,3613.761221,49825,
01/20/2009,_DJA3D,3667.034988,3667.870944,3510.95187,3514.865664,47208,
01/21/2009,_DJA3D,3483.875652,3596.502972,3471.646108,3587.801664,47771,
01/22/2009,_DJA3D,3580.317208,3583.237164,3480.399572,3546.8693,47433,
01/23/2009,_DJA3D,3482.1297,3484.65325,3397.10453,3453.95211,41765,
01/26/2009,_DJA3D,3429.845362,3503.286944,3420.688088,3459.187762,36075,
01/27/2009,_DJA3D,3470.493771,3521.254617,3449.750274,3504.178953,30007,
01/28/2009,_DJA3D,3469.808944,3575.472248,3469.808944,3556.290556,40793,
01/29/2009,_DJA3D,3581.024468,3581.024468,3488.691612,3497.78296,29226,
01/30/2009,_DJA3D,3509.699103,3532.478922,3412.937007,3432.944484,36253,
02/02/2009,_DJA3D,3475.607556,3475.607556,3408.461241,3449.208681,34246,
02/03/2009,_DJA3D,3418.14915,3508.967397,3418.14915,3495.105211,36159,
02/04/2009,_DJA3D,3495.234105,3551.094264,3457.328557,3468.148151,39357,
02/05/2009,_DJA3D,3465.78398,3534.026936,3412.049272,3514.210492,44449,
02/06/2009,_DJA3D,3494.41191,3616.09413,3492.94143,3597.627352,44523,
02/09/2009,_DJA3D,3568.895794,3582.792388,3521.941598,3559.534134,32779,
02/10/2009,_DJA3D,3647.8519,3647.8519,3468.71448,3489.03674,50630,
02/11/2009,_DJA3D,3473.207985,3492.24018,3433.39308,3474.31292,31636,
02/12/2009,_DJA3D,3477.056352,3477.143376,3359.163696,3464.86056,38219,
02/13/2009,_DJA3D,3439.371688,3464.9608,3406.030544,3410.622512,29114,
02/17/2009,_DJA3D,3493.027536,3493.027536,3330.083826,3339.505096,38367,
02/18/2009,_DJA3D,3326.42392,3339.101532,3280.842486,3303.891544,32014,
02/19/2009,_DJA3D,3339.823933,3339.823933,3256.988313,3266.266406,35167,
02/20/2009,_DJA3D,3243.09672,3243.09672,3143.444375,3201.7802,64880,
02/23/2009,_DJA3D,3200.137896,3238.54425,3085.106304,3090.430452,45680,
02/24/2009,_DJA3D,3072.775836,3203.808006,3070.017264,3190.586742,52110,
02/25/2009,_DJA3D,3223.417754,3223.417754,3119.961876,3160.927036,50636,
02/26/2009,_DJA3D,3147.83658,3185.547288,3088.973832,3093.216756,36512,
02/27/2009,_DJA3D,3145.615938,3156.792,3071.240391,3099.155088,73339,
03/02/2009,_DJA3D,3140.857615,3140.857615,2988.707665,2993.05665,63033,
03/03/2009,_DJA3D,2999.371312,3034.556563,2951.642991,2955.832635,51618,
03/04/2009,_DJA3D,2912.08296,3032.702007,2912.070219,2993.230389,52069,
03/05/2009,_DJA3D,3026.605032,3026.605032,2863.185192,2884.52772,57197,
03/06/2009,_DJA3D,2881.0645,2959.022625,2807.870125,2874.279375,48299,
