Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_CNDD,Nasdaq Canada Composite Index,Stock Indices - Composites,Canada Dollar,Canada,,,,,,,National Currency,Units,Stock,none,Daily From Nov 2000 To Aug 2012<BR>,,
Date,Ticker,Open,High,Low,Close,Volume,Openint
01/02/2009,_CNDD,429.72,446.28,425.62,444.46,0,
01/05/2009,_CNDD,444.67,468,442.85,456.82,0,
01/06/2009,_CNDD,467.5,492.39,461,486.19,0,
01/07/2009,_CNDD,478.38,493.33,470.92,480.63,0,
01/08/2009,_CNDD,477.09,484.13,470.25,483.55,0,
01/09/2009,_CNDD,484.52,497.71,479.85,488.86,0,
01/12/2009,_CNDD,486,495.48,469.89,474.93,0,
01/13/2009,_CNDD,475.52,484.66,467.32,473.95,0,
01/14/2009,_CNDD,471.99,477.02,457.64,459.68,0,
01/15/2009,_CNDD,465.75,497.58,456.22,494.12,0,
01/16/2009,_CNDD,508.9,512.52,487.05,511.27,0,
01/20/2009,_CNDD,517.11,525.88,491.95,498.91,0,
01/21/2009,_CNDD,507.79,525.52,498.56,523.75,0,
01/22/2009,_CNDD,511.99,528.51,504.11,519.21,0,
01/23/2009,_CNDD,510.02,534.78,508.04,525.4,0,
01/26/2009,_CNDD,523.06,527.39,499.58,511.52,0,
01/27/2009,_CNDD,510.87,537.93,509.65,535.17,0,
01/28/2009,_CNDD,547.48,558.8,539.51,557.77,0,
01/29/2009,_CNDD,548.99,553.63,540.9,545.1,0,
01/30/2009,_CNDD,555.63,560.19,540.88,548.81,0,
02/02/2009,_CNDD,542.18,559.11,541.02,548.8,0,
02/03/2009,_CNDD,550.65,552.75,537.9,547.45,0,
02/04/2009,_CNDD,545.92,560.34,543.47,550.61,0,
02/05/2009,_CNDD,545.27,562.29,541.3,555.8,0,
02/06/2009,_CNDD,562.47,581.56,560.35,575.7,0,
02/09/2009,_CNDD,584.79,584.86,569.51,576.02,0,
02/10/2009,_CNDD,575.04,583.55,549.92,556.9,0,
02/11/2009,_CNDD,504.53,511.26,477.32,495.53,0,
02/12/2009,_CNDD,492.18,510.1,491.88,507.94,0,
02/13/2009,_CNDD,500.41,503.91,485.2,493.06,0,
02/17/2009,_CNDD,476.77,478.26,460.29,460.52,0,
02/18/2009,_CNDD,467.84,467.84,438.58,439.4,0,
02/19/2009,_CNDD,441.03,446.58,430.87,435.3,0,
02/20/2009,_CNDD,421.91,425.89,406.09,411.58,0,
02/23/2009,_CNDD,417.15,417.35,393.38,394.86,0,
02/24/2009,_CNDD,396.85,418.52,396.85,415.04,0,
02/25/2009,_CNDD,417.23,429.66,411.7,421.12,0,
