Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
_SSECD,Shanghai SE Composite,Stock Indices - Composites,China Renminbi Yuan,China,,,,NASDAQ Global Select Market,,,National Currency,Units,Stock,none,Daily From Dec 1990 To Jan 2019<BR>,"The Shanghai Stock Price Index is a capitalization-weighted index. The index tracks the daily price performance of all A-shares and B-shares listed on the Shanghai Stock Exchange. The index was developed on December 19, 1990 with a base value of 100.",,Currency converted to CAD using China Renminbi Yuan per Canada Dollar (CADCNY)
Date,Ticker,Open,High,Low,Close,Volume,Openint
01/05/2009,_SSECD,321.778209641579,327.294148967708,320.92095582026,327.294148967708,672,
01/06/2009,_SSECD,325.551576129206,335.924268240732,324.363610656099,335.656560152058,990,
01/07/2009,_SSECD,339.337476257871,340.957882561758,336.106989168181,336.718994875568,924,
01/08/2009,_SSECD,326.131742322448,326.809629923922,321.304402744532,324.050805096341,804,
01/09/2009,_SSECD,326.006932126686,331.950170677954,326.006932126686,331.169908732127,712,
01/12/2009,_SSECD,337.640230695966,342.397468518928,335.706235066689,338.110652447926,836,
01/13/2009,_SSECD,336.949515777089,338.282539331585,333.535535145719,333.81428593873,738,
01/14/2009,_SSECD,339.981593298578,352.206844399003,339.981410739501,352.132542854967,880,
01/15/2009,_SSECD,350.27708791906,354.847164753156,348.403715342813,351.63844194954,1160,
01/16/2009,_SSECD,352.131457211569,362.319037684573,352.131457211569,356.789492249901,1330,
01/19/2009,_SSECD,361.722014814746,370.441148718272,360.838906577664,364.598172813821,1094,
01/20/2009,_SSECD,366.843673659566,369.373429538124,362.206158216843,369.243442081913,746,
01/21/2009,_SSECD,360.925152051854,368.629820066894,359.931019106886,364.426556211857,872,
01/22/2009,_SSECD,365.876110155198,368.399190150893,363.007882347524,367.501035993326,882,
01/23/2009,_SSECD,360.194573308082,361.565390944104,357.52637469511,358.301959410659,860,
02/02/2009,_SSECD,364.350058110682,365.186120379323,360.538971315371,364.99397846472,848,
02/03/2009,_SSECD,362.094481610769,370.941792309098,360.879922510121,370.920733711769,1344,
02/04/2009,_SSECD,372.942468370366,380.186592597746,372.888368714689,380.094983847466,1518,
02/05/2009,_SSECD,379.603248043899,387.286176275033,375.235937300848,378.014627274829,1654,
02/06/2009,_SSECD,376.933237576956,391.8177823868,376.933237576956,391.12795919044,1608,
02/09/2009,_SSECD,393.104341903895,398.006686722247,390.507309759307,395.485917620306,1924,
02/10/2009,_SSECD,405.069867549439,413.817484636757,401.14750827937,413.591623058827,1726,
02/11/2009,_SSECD,405.24985968808,418.91540770508,403.034556530847,410.760410394131,2094,
02/12/2009,_SSECD,412.148496998567,413.678645285433,398.705674994758,408.929219254752,1740,
02/13/2009,_SSECD,405.953030820022,419.297481069191,403.60541109471,418.877302802064,1998,
02/16/2009,_SSECD,426.157075594513,435.471912659481,424.229421813012,435.382445034307,2114,
02/17/2009,_SSECD,441.671839862105,444.530718328134,428.643805074181,429.107611992859,1982,
02/18/2009,_SSECD,418.591048178885,423.102873091254,406.575119065016,407.275455434731,1624,
02/19/2009,_SSECD,409.728223993579,413.987795809175,403.462641772221,410.213563945758,1298,
02/20/2009,_SSECD,408.687443973559,413.802884712028,403.537799086698,413.646679670706,1290,
02/23/2009,_SSECD,411.25907160896,423.016571245429,405.851590825994,421.587314194526,1602,
02/24/2009,_SSECD,413.258829920015,417.227378225045,398.630181079761,399.972599114153,1838,
02/25/2009,_SSECD,408.489380756767,410.605248948471,393.803101408423,405.561130927873,1524,
02/26/2009,_SSECD,403.09718498846,409.665425630782,384.911900806183,388.373157651983,1486,
02/27/2009,_SSECD,390.84292910791,395.157147271674,384.302089740949,387.639788224576,1230,
03/02/2009,_SSECD,389.618125666317,396.384397557422,387.122092976115,394.750483282238,874,
03/03/2009,_SSECD,386.951478686976,394.779484610063,385.025617227351,391.529014542229,978,
03/04/2009,_SSECD,386.634387182888,409.92815686146,386.634387182888,409.254167793861,1548,
03/05/2009,_SSECD,418.286309730146,422.357919954491,409.495542923534,418.460772321777,1824,
03/06/2009,_SSECD,410.52190293611,418.099130817492,408.805110769803,412.822065598403,1238,
03/09/2009,_SSECD,419.071746086994,424.187821999012,402.106885480494,402.542914677541,1244,
03/10/2009,_SSECD,392.726910040337,404.361680169497,391.045805701792,404.230592608287,840,
03/11/2009,_SSECD,413.306940600608,413.974060731115,400.749451509272,401.854868250444,1038,
03/12/2009,_SSECD,397.554292767833,399.248787209839,389.761374674638,398.70432179976,872,
03/13/2009,_SSECD,399.61580361239,402.890230007436,395.256039906783,395.975692015533,836,
03/16/2009,_SSECD,394.678935735079,401.464918318467,392.113457939386,400.421879397328,734,
03/17/2009,_SSECD,400.288222872954,412.98631717144,399.360615002162,411.712016322929,1308,
03/18/2009,_SSECD,406.074288899168,411.000442165452,404.909093626438,405.298585617338,1470,
03/19/2009,_SSECD,404.571059523846,411.981903663131,403.266896266001,411.548696229989,1458,
03/20/2009,_SSECD,413.037230472331,416.977778508047,409.032703058912,414.609450975511,1506,
03/23/2009,_SSECD,409.339572482048,417.027202432483,407.650109403298,416.364200972054,1600,
03/24/2009,_SSECD,424.883190294175,426.643274265395,419.076443696948,421.05530025385,1628,
03/25/2009,_SSECD,420.76455134087,424.827089212444,413.22558329438,413.260930097009,1448,
03/26/2009,_SSECD,413.201079541307,425.078747747056,409.39452452111,425.016840838634,1586,
03/27/2009,_SSECD,432.77139110941,434.978853769333,429.22014487194,431.646481372146,1866,
03/30/2009,_SSECD,438.893678094889,439.305262501613,433.460579359131,435.216365216156,1398,
03/31/2009,_SSECD,426.921558735845,438.329280325519,424.204731673982,437.868203868636,1426,
04/01/2009,_SSECD,438.992890907442,446.671370194631,438.992890907442,443.978020883118,1798,
04/02/2009,_SSECD,437.497175392076,443.431182306806,437.477990229721,438.958505588792,1884,
04/03/2009,_SSECD,440.061079396397,441.983685427616,432.931947572205,435.321397680434,1702,
04/07/2009,_SSECD,438.388021489393,443.353981666762,435.746580266646,441.479778305,1242,
04/08/2009,_SSECD,439.226848501417,440.22265969547,424.161882711843,424.315167862062,1468,
04/09/2009,_SSECD,420.138868173166,426.575478428389,417.786099541212,426.385744802038,1132,
04/10/2009,_SSECD,430.599731142273,438.667508292854,429.305427667185,438.532049584275,1574,
04/13/2009,_SSECD,440.456999101055,450.158505648903,439.739228243923,448.598041110174,1914,
04/14/2009,_SSECD,446.888235147193,450.460481807836,443.92227417477,449.587345024447,1652,
04/15/2009,_SSECD,442.512951812339,447.431363788761,437.468539514792,446.290321774552,1810,
04/16/2009,_SSECD,450.293718485377,451.529294341658,442.285500772377,448.840995840133,1862,
04/17/2009,_SSECD,448.4282614534,451.043918021209,440.839020778892,444.753091682617,1616,
04/20/2009,_SSECD,453.193170264203,463.862955747553,452.676203269682,463.576557482706,1480,
04/21/2009,_SSECD,457.228943214619,462.544787656514,452.941439964698,459.505971482169,1646,
04/22/2009,_SSECD,462.864451226142,468.516142059526,445.024559324153,447.104638767893,1940,
04/23/2009,_SSECD,437.365991844344,443.363772683354,434.160664510393,441.537379426372,1262,
04/27/2009,_SSECD,437.005324647392,438.702956401018,428.013885669116,430.193335790237,1130,
04/28/2009,_SSECD,425.991212533697,431.095847540138,424.106784516505,429.308134783102,948,
04/29/2009,_SSECD,423.579794581812,436.995711516886,422.490711443604,435.314378795179,1266,
04/30/2009,_SSECD,433.837294871985,436.138555200694,430.937433731966,433.774440911394,1312,
05/04/2009,_SSECD,427.587499017946,440.287613865611,427.508401645521,440.178769003122,1534,
05/05/2009,_SSECD,444.383007842908,446.684207994563,440.065951530832,442.643012942893,1584,
05/06/2009,_SSECD,438.85466567984,444.565711123506,436.983224512305,443.811622361798,1608,
05/07/2009,_SSECD,447.852700570354,449.565330728275,439.9655834891,445.336476704338,1818,
05/08/2009,_SSECD,436.228026823423,444.204981044826,434.172825328852,442.785716600885,1620,
05/11/2009,_SSECD,452.657417252345,455.678740321584,441.275498154389,441.275498154389,1782,
05/12/2009,_SSECD,436.589688452535,446.357722977423,436.01037750372,446.098736906188,1230,
05/13/2009,_SSECD,452.122424916704,459.204618205,448.560175589966,458.095908085781,1458,
05/14/2009,_SSECD,451.137906216901,454.574100799841,447.499582540847,452.585212242405,1248,
05/15/2009,_SSECD,456.839379429514,459.33768782878,452.778743732827,456.558395244781,1108,
05/18/2009,_SSECD,448.363503332876,452.497877035296,441.047492755692,451.805550398824,1190,
05/19/2009,_SSECD,453.783556030675,455.259701204574,450.593483692957,453.323911927651,1474,
05/20/2009,_SSECD,448.45982057003,449.429835287051,443.518400307541,443.585822855136,1382,
05/21/2009,_SSECD,439.192971197719,443.201245823542,432.491101408999,434.446978336562,1390,
05/22/2009,_SSECD,425.923602209405,429.493928230819,423.069605557482,426.188247026856,992,
05/25/2009,_SSECD,420.841088961986,431.219403451051,418.087460286276,429.844400711009,1120,
05/26/2009,_SSECD,427.082690090844,427.702326040514,422.330732370332,422.765980078786,1146,
05/27/2009,_SSECD,427.304663523696,432.901821725263,425.917242452161,432.510367260017,1032,
06/01/2009,_SSECD,426.348278898433,435.665819833916,426.348278898433,434.797273422549,1480,
06/02/2009,_SSECD,433.786761336318,435.597952438799,429.673498521309,431.389363776292,1564,
06/03/2009,_SSECD,443.501586096369,452.692836687897,442.784265495229,452.677522552874,1556,
06/04/2009,_SSECD,441.891246797721,445.902737888411,437.870928308055,444.137579089683,1708,
06/05/2009,_SSECD,455.862056622016,457.137683520176,450.379317237651,450.954741232534,1466,
06/08/2009,_SSECD,449.581601866394,456.40759326392,445.610985829324,452.029416358794,1332,
06/09/2009,_SSECD,446.871925596069,450.402306041406,439.658681216176,450.324933592956,1326,
06/10/2009,_SSECD,453.775306232701,457.615900293038,452.654700319607,456.91371665443,1452,
06/11/2009,_SSECD,453.491197975372,456.145438581896,449.487261507572,451.078999601558,1342,
06/12/2009,_SSECD,457.28172199146,460.344104345224,445.538416114439,449.064632127044,1276,
06/15/2009,_SSECD,454.302850260227,462.243702718174,451.770177758101,462.007196287816,1062,
06/16/2009,_SSECD,458.81277715583,464.582436166193,457.310327525218,461.018373877856,1034,
06/17/2009,_SSECD,458.636376077589,465.601837404368,454.118225583313,465.024305806192,1108,
06/18/2009,_SSECD,466.087549379294,473.1171646284,465.733632956061,472.866639519819,1388,
