Date,Ticker,Open,High,Low,Close,Returns
01/02/2009,_DJCD,141.3973514,145.7977192,141.0705433,145.5523094,2.938497757
01/05/2009,_DJCD,140.9346792,143.6946084,139.8601848,143.2928616,1.673244948
01/06/2009,_DJCD,145.250497,146.631624,144.137067,146.236001,0.678485802
01/07/2009,_DJCD,147.2591826,147.2962524,142.0861518,142.210515,-3.428422942
01/08/2009,_DJCD,139.5523805,140.0452443,137.4075976,137.9535209,-1.145705716
01/09/2009,_DJCD,139.9662921,140.9644641,138.4951767,140.5378644,0.408364251
01/12/2009,_DJCD,141.4970442,141.4994768,137.7836803,137.8371975,-2.586518129
01/13/2009,_DJCD,137.2991235,140.3268174,137.2905534,138.9127509,1.175264167
01/14/2009,_DJCD,141.3993456,141.4205565,137.4029625,139.4541813,-1.375652972
01/15/2009,_DJCD,140.1113961,140.6184156,137.0567601,139.4629119,-0.462834729
01/16/2009,_DJCD,140.4936246,142.2434608,139.7896962,140.8218749,0.233640709
01/20/2009,_DJCD,140.0593614,143.0447376,138.9219546,139.8174408,-0.172727191
01/21/2009,_DJCD,138.2214704,139.6741996,136.8076648,139.597608,0.995603357
01/22/2009,_DJCD,139.656608,139.6829252,135.6225572,138.2179344,-1.030150754
01/23/2009,_DJCD,135.27459,140.245368,134.649242,139.392285,3.043953044
01/26/2009,_DJCD,138.9252606,142.6566358,138.3530838,139.6796048,0.542985629
01/27/2009,_DJCD,138.3521328,139.1593014,135.2265012,135.3185037,-2.192686906
01/28/2009,_DJCD,133.7324728,136.0661036,133.5988448,135.152574,1.061897062
01/29/2009,_DJCD,134.1787524,135.9382892,133.5351388,135.6348364,1.085182247
01/30/2009,_DJCD,135.4877883,137.4787224,135.2044206,136.077831,0.435495115
02/02/2009,_DJCD,135.7746939,137.3536572,135.1336671,135.9548274,0.132670894
02/03/2009,_DJCD,135.0122748,135.5638076,134.1628158,135.1452336,0.098479046
02/04/2009,_DJCD,136.317026,137.9325713,135.405124,135.8549135,-0.338998373
02/05/2009,_DJCD,136.3886156,137.7187436,134.9501068,137.6349948,0.913844014
02/06/2009,_DJCD,137.2349968,140.167379,135.9801872,138.6454322,1.027751982
02/09/2009,_DJCD,137.586007,139.3598592,137.0911764,137.1629086,-0.307515575
02/10/2009,_DJCD,141.123206,142.225916,137.629422,137.752776,-2.388288996
02/11/2009,_DJCD,136.969729,138.4111105,136.0199815,136.3502205,-0.452295923
02/12/2009,_DJCD,136.4175792,136.621464,134.9381712,135.5759328,-0.616963301
02/13/2009,_DJCD,134.4249256,134.6841496,133.117696,133.512704,-0.678610456
02/17/2009,_DJCD,134.3991588,134.4383614,130.8114886,130.9101274,-2.596021754
02/18/2009,_DJCD,129.9430026,130.285777,128.9008172,129.2372906,-0.543093499
02/19/2009,_DJCD,130.8802796,131.0867392,128.8509328,130.9973573,0.089454042
02/20/2009,_DJCD,127.743577,128.771488,126.8994895,128.656442,0.714607358
02/23/2009,_DJCD,129.6967452,130.7378286,127.6183278,128.2082334,-1.147686318
02/24/2009,_DJCD,127.1192226,129.1583292,127.1005836,129.1421754,1.591382293
02/25/2009,_DJCD,130.8346788,132.7861786,129.926157,132.3187234,1.13428994
02/26/2009,_DJCD,132.1138896,134.1927972,131.687094,133.5319524,1.073363902
02/27/2009,_DJCD,133.7716068,135.1527033,132.5508957,134.9121252,0.852586305
03/02/2009,_DJCD,134.895965,135.161808,131.2167495,131.6297095,-2.421314455
03/03/2009,_DJCD,133.1608518,134.1578319,131.7293901,133.551368,0.293266523
03/04/2009,_DJCD,132.9357717,136.1961936,132.9306753,136.0891692,2.372121108
03/05/2009,_DJCD,136.0147968,136.9388664,134.4244176,134.9734464,-0.765615525
03/06/2009,_DJCD,135.9741625,136.8290625,135.051025,136.261275,0.211152247
03/09/2009,_DJCD,136.842548,138.5046085,135.839334,136.2304835,-0.447276457
03/10/2009,_DJCD,135.0369077,136.5985686,133.9492538,134.2105982,-0.61191382
03/11/2009,_DJCD,134.481675,135.02009,131.77932,131.952795,-1.880464383
03/12/2009,_DJCD,131.3807802,135.7760682,130.9489176,135.5831355,3.198607356
03/13/2009,_DJCD,136.2815412,136.9442011,134.2655797,134.7463579,-1.126479262
03/16/2009,_DJCD,134.1754172,137.11027,133.6400736,136.5622104,1.778860278
03/17/2009,_DJCD,136.2938179,137.6515409,135.6086119,137.3812652,0.797869864
03/18/2009,_DJCD,134.7149808,134.8034255,131.7340207,132.5624112,-1.597869507
03/19/2009,_DJCD,137.423365,140.740267,137.0725865,139.4201995,1.453053125
03/20/2009,_DJCD,139.704334,140.76663,138.968421,139.992246,0.206086663
03/23/2009,_DJCD,139.5120345,140.38439,138.6629255,139.728594,0.155226394
03/24/2009,_DJCD,139.2118776,139.6594884,138.1998345,139.5008571,0.207582503
