Date,Ticker,Open,High,Low,Returns
01/02/2009,IGUSA10D,,,,2.988654
01/05/2009,IGUSA10D,,,,2.959614
01/06/2009,IGUSA10D,,,,2.973095
01/07/2009,IGUSA10D,,,,3.013416
01/08/2009,IGUSA10D,,,,2.912377
01/09/2009,IGUSA10D,,,,2.887569
01/12/2009,IGUSA10D,,,,2.846142
01/13/2009,IGUSA10D,,,,2.852619
01/14/2009,IGUSA10D,,,,2.794848
01/15/2009,IGUSA10D,,,,2.791737
01/16/2009,IGUSA10D,,,,2.945516
01/20/2009,IGUSA10D,,,,3.03984
01/21/2009,IGUSA10D,,,,3.214336
01/22/2009,IGUSA10D,,,,3.283384
01/23/2009,IGUSA10D,,,,3.26215
01/26/2009,IGUSA10D,,,,3.30102
01/27/2009,IGUSA10D,,,,3.177153
01/28/2009,IGUSA10D,,,,3.292108
01/29/2009,IGUSA10D,,,,3.511732
01/30/2009,IGUSA10D,,,,3.520629
02/02/2009,IGUSA10D,,,,3.428748
02/03/2009,IGUSA10D,,,,3.557879
02/04/2009,IGUSA10D,,,,3.635285
02/05/2009,IGUSA10D,,,,3.63322
02/06/2009,IGUSA10D,,,,3.73747
02/09/2009,IGUSA10D,,,,3.732506
02/10/2009,IGUSA10D,,,,3.6134
02/11/2009,IGUSA10D,,,,3.45137
02/12/2009,IGUSA10D,,,,3.4188
02/13/2009,IGUSA10D,,,,3.567416
02/17/2009,IGUSA10D,,,,3.338544
02/18/2009,IGUSA10D,,,,3.452948
02/19/2009,IGUSA10D,,,,3.587865
02/20/2009,IGUSA10D,,,,3.47639
02/23/2009,IGUSA10D,,,,3.474444
02/24/2009,IGUSA10D,,,,3.47928
02/25/2009,IGUSA10D,,,,3.70697
02/26/2009,IGUSA10D,,,,3.729768
02/27/2009,IGUSA10D,,,,3.844158
03/02/2009,IGUSA10D,,,,3.755355
03/03/2009,IGUSA10D,,,,3.788783
03/04/2009,IGUSA10D,,,,3.835041
03/05/2009,IGUSA10D,,,,3.647304
03/06/2009,IGUSA10D,,,,3.643625
03/09/2009,IGUSA10D,,,,3.755555
03/10/2009,IGUSA10D,,,,3.830489
03/11/2009,IGUSA10D,,,,3.79075
03/12/2009,IGUSA10D,,,,3.692553
03/13/2009,IGUSA10D,,,,3.675791
03/16/2009,IGUSA10D,,,,3.776652
03/17/2009,IGUSA10D,,,,3.832078
03/18/2009,IGUSA10D,,,,3.126707
03/19/2009,IGUSA10D,,,,3.235095
03/20/2009,IGUSA10D,,,,3.28865
03/23/2009,IGUSA10D,,,,3.27898
03/24/2009,IGUSA10D,,,,3.295596
03/25/2009,IGUSA10D,,,,3.461358
03/26/2009,IGUSA10D,,,,3.39342
03/27/2009,IGUSA10D,,,,3.452204
03/30/2009,IGUSA10D,,,,3.444441
03/31/2009,IGUSA10D,,,,3.416497
04/01/2009,IGUSA10D,,,,3.3768
04/02/2009,IGUSA10D,,,,3.426213
04/03/2009,IGUSA10D,,,,3.577845
04/06/2009,IGUSA10D,,,,3.65328
04/07/2009,IGUSA10D,,,,3.625289
04/08/2009,IGUSA10D,,,,3.53353
04/09/2009,IGUSA10D,,,,3.624224
04/13/2009,IGUSA10D,,,,3.513024
04/14/2009,IGUSA10D,,,,3.40312
04/15/2009,IGUSA10D,,,,3.390486
04/16/2009,IGUSA10D,,,,3.4606
04/17/2009,IGUSA10D,,,,3.616528
04/20/2009,IGUSA10D,,,,3.567168
04/21/2009,IGUSA10D,,,,3.636192
04/22/2009,IGUSA10D,,,,3.696988
04/23/2009,IGUSA10D,,,,3.620968
04/24/2009,IGUSA10D,,,,3.663876
04/27/2009,IGUSA10D,,,,3.60195
04/28/2009,IGUSA10D,,,,3.72222
04/29/2009,IGUSA10D,,,,3.755232
04/30/2009,IGUSA10D,,,,3.772092
05/01/2009,IGUSA10D,,,,3.804171
05/04/2009,IGUSA10D,,,,3.742189
05/05/2009,IGUSA10D,,,,3.76192
05/06/2009,IGUSA10D,,,,3.711378
05/07/2009,IGUSA10D,,,,3.846997
05/08/2009,IGUSA10D,,,,3.783829
05/11/2009,IGUSA10D,,,,3.699707
05/12/2009,IGUSA10D,,,,3.684174
05/13/2009,IGUSA10D,,,,3.648652
05/14/2009,IGUSA10D,,,,3.627
05/15/2009,IGUSA10D,,,,3.697978
05/18/2009,IGUSA10D,,,,3.743894
05/19/2009,IGUSA10D,,,,3.75635
05/20/2009,IGUSA10D,,,,3.642342
05/21/2009,IGUSA10D,,,,3.804595
05/22/2009,IGUSA10D,,,,3.86193
05/26/2009,IGUSA10D,,,,3.90565
05/27/2009,IGUSA10D,,,,4.161136
05/28/2009,IGUSA10D,,,,4.08838
05/29/2009,IGUSA10D,,,,3.784035
06/01/2009,IGUSA10D,,,,4.046497
06/02/2009,IGUSA10D,,,,3.94784
06/03/2009,IGUSA10D,,,,3.961568
06/04/2009,IGUSA10D,,,,4.079724
06/05/2009,IGUSA10D,,,,4.296576
06/08/2009,IGUSA10D,,,,4.365124
06/09/2009,IGUSA10D,,,,4.261826
06/10/2009,IGUSA10D,,,,4.412228
06/11/2009,IGUSA10D,,,,4.276924
06/12/2009,IGUSA10D,,,,4.262247
06/15/2009,IGUSA10D,,,,4.257072
06/16/2009,IGUSA10D,,,,4.165083
06/17/2009,IGUSA10D,,,,4.163184
06/18/2009,IGUSA10D,,,,4.371064
06/19/2009,IGUSA10D,,,,4.302029
06/22/2009,IGUSA10D,,,,4.29474
06/23/2009,IGUSA10D,,,,4.19604
06/24/2009,IGUSA10D,,,,4.299204
06/25/2009,IGUSA10D,,,,4.097765
06/26/2009,IGUSA10D,,,,4.056448
06/29/2009,IGUSA10D,,,,4.059666
06/30/2009,IGUSA10D,,,,4.103625
07/01/2009,IGUSA10D,,,,4.076465
07/02/2009,IGUSA10D,,,,4.083534
07/06/2009,IGUSA10D,,,,4.080736
07/07/2009,IGUSA10D,,,,4.044632
07/08/2009,IGUSA10D,,,,3.886443
07/09/2009,IGUSA10D,,,,3.996248
07/10/2009,IGUSA10D,,,,3.863152
07/13/2009,IGUSA10D,,,,3.891394
07/14/2009,IGUSA10D,,,,3.9655
07/15/2009,IGUSA10D,,,,4.038012
07/16/2009,IGUSA10D,,,,4.011107
07/17/2009,IGUSA10D,,,,4.085811
07/20/2009,IGUSA10D,,,,3.994826
