Date,Ticker,Open,High,Low,Returns
01/31/1984,IGOECD3M,,,,13.656402
02/29/1984,IGOECD3M,,,,13.66953
03/30/1984,IGOECD3M,,,,14.215754
04/30/1984,IGOECD3M,,,,14.563887
05/31/1984,IGOECD3M,,,,15.202126
06/29/1984,IGOECD3M,,,,15.71181
07/31/1984,IGOECD3M,,,,15.543765
08/31/1984,IGOECD3M,,,,14.972265
09/28/1984,IGOECD3M,,,,15.071056
10/31/1984,IGOECD3M,,,,14.52412
11/30/1984,IGOECD3M,,,,13.858454
12/31/1984,IGOECD3M,,,,13.428472
01/31/1985,IGOECD3M,,,,13.216232
02/28/1985,IGOECD3M,,,,13.997857
03/29/1985,IGOECD3M,,,,14.18144
04/30/1985,IGOECD3M,,,,13.67366
05/31/1985,IGOECD3M,,,,13.173388
06/28/1985,IGOECD3M,,,,12.5615
07/31/1985,IGOECD3M,,,,12.362336
08/30/1985,IGOECD3M,,,,12.477014
09/30/1985,IGOECD3M,,,,12.628898
10/31/1985,IGOECD3M,,,,12.375875
11/29/1985,IGOECD3M,,,,12.359552
12/31/1985,IGOECD3M,,,,12.151227
01/31/1986,IGOECD3M,,,,11.79486
02/28/1986,IGOECD3M,,,,11.40043
03/31/1986,IGOECD3M,,,,10.370794
04/30/1986,IGOECD3M,,,,9.49923
05/30/1986,IGOECD3M,,,,9.83492
06/30/1986,IGOECD3M,,,,9.88743
07/31/1986,IGOECD3M,,,,9.671697
08/29/1986,IGOECD3M,,,,9.35415
09/30/1986,IGOECD3M,,,,9.557119
10/31/1986,IGOECD3M,,,,9.753588
11/28/1986,IGOECD3M,,,,9.700697
12/31/1986,IGOECD3M,,,,9.69462
01/30/1987,IGOECD3M,,,,9.341194
02/27/1987,IGOECD3M,,,,9.2574
03/31/1987,IGOECD3M,,,,8.937195
04/30/1987,IGOECD3M,,,,9.522288
05/29/1987,IGOECD3M,,,,9.737
06/30/1987,IGOECD3M,,,,9.640784
07/31/1987,IGOECD3M,,,,9.779253
08/31/1987,IGOECD3M,,,,10.13376
09/30/1987,IGOECD3M,,,,10.657617
10/30/1987,IGOECD3M,,,,10.769031
11/30/1987,IGOECD3M,,,,9.939105
12/31/1987,IGOECD3M,,,,9.906792
