Date,Ticker,Open,High,Low,Close,Returns
01/02/2009,_DJA3D,3748.391715,3871.181658,3745.232975,3856.857987,2.893674948
01/05/2009,_DJA3D,3772.889778,3781.685418,3725.0724,3755.310384,-0.465939771
01/06/2009,_DJA3D,3743.30428,3812.822585,3742.3093,3778.685295,0.945181379
01/07/2009,_DJA3D,3812.939838,3812.939838,3683.637984,3701.694564,-2.917572234
01/08/2009,_DJA3D,3649.774349,3649.821513,3599.969165,3644.079296,-0.156038496
01/09/2009,_DJA3D,3672.512448,3683.444808,3595.724502,3606.775692,-1.789966867
01/12/2009,_DJA3D,3691.798901,3692.577333,3597.584303,3619.915571,-1.947108494
01/13/2009,_DJA3D,3643.357641,3661.51401,3575.910954,3609.346587,-0.93350852
01/14/2009,_DJA3D,3677.782905,3677.832813,3533.798325,3564.529176,-3.079402236
01/15/2009,_DJA3D,3575.92716,3629.658708,3486.403791,3600.526995,0.687928862
01/16/2009,_DJA3D,3589.972435,3649.406957,3541.159244,3613.761221,0.662645367
01/20/2009,_DJA3D,3667.034988,3667.870944,3510.95187,3514.865664,-4.149655635
01/21/2009,_DJA3D,3483.875652,3596.502972,3471.646108,3587.801664,2.983057445
01/22/2009,_DJA3D,3580.317208,3583.237164,3480.399572,3546.8693,-0.934216329
01/23/2009,_DJA3D,3482.1297,3484.65325,3397.10453,3453.95211,-0.809205642
01/26/2009,_DJA3D,3429.845362,3503.286944,3420.688088,3459.187762,0.855502126
01/27/2009,_DJA3D,3470.493771,3521.254617,3449.750274,3504.178953,0.970616409
01/28/2009,_DJA3D,3469.808944,3575.472248,3469.808944,3556.290556,2.492402706
01/29/2009,_DJA3D,3581.024468,3581.024468,3488.691612,3497.78296,-2.324516594
01/30/2009,_DJA3D,3509.699103,3532.478922,3412.937007,3432.944484,-2.186928758
02/02/2009,_DJA3D,3475.607556,3475.607556,3408.461241,3449.208681,-0.75954706
02/03/2009,_DJA3D,3418.14915,3508.967397,3418.14915,3495.105211,2.251395642
02/04/2009,_DJA3D,3495.234105,3551.094264,3457.328557,3468.148151,-0.774939623
