Date,Ticker,Close,Returns
2015-12-31,66428,10,0
2016-01-29,66428,10,0
2016-02-26,66428,9.786,-2.14
2016-03-24,66428,10.0168,2.358471286
2016-04-29,66428,9.7844,-2.320102228
2016-05-31,66428,10.2782,5.046809206
2016-06-30,66428,10.1521,-1.226868518
2016-07-29,66428,10.6931,5.32894672
2016-08-26,66428,10.7414,0.451693148
2016-09-30,66428,10.8228,0.757815555
2016-10-28,66428,10.6917,-1.211331633
2016-11-30,66428,11.1384,4.178007239
2016-12-30,66428,11.2403,0.914853121
2016-12-30,66428,11.2403,0
2017-01-27,66428,11.3717,1.169007945
2017-02-24,66428,11.601,2.016409156
2017-03-31,66428,11.9525,3.029911215
2017-04-28,66428,12.5214,4.759673708
2017-05-26,66428,12.605,0.667656971
2017-06-30,66428,12.1695,-3.454978183
2017-07-28,66428,11.8627,-2.52105674
2017-08-25,66428,11.7747,-0.741821002
2017-09-29,66428,12.1735,3.386922809
2017-10-27,66428,12.751,4.743910954
2017-11-24,66428,12.7694,0.144302408
2017-12-29,66428,12.9161,1.148840196
2017-12-29,66428,12.9161,0
2018-01-26,66428,13.4242,3.933850001
2018-02-23,66428,13.2836,-1.047362226
2018-03-29,66428,13.2313,-0.39371857
2018-04-27,66428,13.2365,0.039300749
2018-05-25,66428,13.6952,3.465417595
2018-06-29,66428,13.805,0.801740756
2018-07-27,66428,14.1716,2.65555958
2018-08-31,66428,14.5602,2.742103926
2018-09-28,66428,14.3368,-1.534319584
2018-10-26,66428,13.1043,-8.596757993
2018-11-30,66428,13.8831,5.943087384
2018-12-31,66428,13.1532,-5.257471314
2018-12-31,66428,13.1532,0
