Date,Ticker,Open,High,Low,Close,Returns
01/02/2009,EUSX5ED,4137.17516,4280.239622,4137.17516,4280.239622,3.458022833
01/05/2009,EUSX5ED,4128.296392,4148.13137,4088.869115,4131.062935,0.067014147
01/06/2009,EUSX5ED,4096.621297,4176.381105,4071.561249,4128.791033,0.785274827
01/07/2009,EUSX5ED,4192.547293,4194.50424,4110.583823,4139.840183,-1.257161972
01/08/2009,EUSX5ED,4077.207193,4101.814353,4020.200875,4076.721205,-0.011919614
01/09/2009,EUSX5ED,4033.13099,4063.626198,3939.520767,3972.188498,-1.511046682
01/12/2009,EUSX5ED,4039.027168,4052.529689,3981.763462,3988.726208,-1.245373149
01/13/2009,EUSX5ED,3953.177041,3953.177041,3856.168149,3898.593371,-1.380754507
01/14/2009,EUSX5ED,3978.353057,3987.984878,3738.69165,3777.876397,-5.039187252
01/15/2009,EUSX5ED,3791.1188,3810.891415,3683.143846,3720.003295,-1.875844804
01/16/2009,EUSX5ED,3791.608508,3893.502825,3785.643071,3791.043536,-0.014900582
01/19/2009,EUSX5ED,3787.792037,3827.657124,3656.531754,3705.807832,-2.164432591
01/20/2009,EUSX5ED,3668.609207,3728.501469,3577.668952,3592.556317,-2.07307143
01/21/2009,EUSX5ED,3581.727303,3643.510324,3511.520813,3586.41429,0.130858312
01/22/2009,EUSX5ED,3598.566308,3661.713913,3504.301075,3519.175627,-2.206175299
01/23/2009,EUSX5ED,3445.403677,3465.259792,3335.075939,3433.844924,-0.335483272
01/26/2009,EUSX5ED,3454.327156,3612.715552,3437.695407,3588.670427,3.889129938
01/27/2009,EUSX5ED,3608.085382,3620.876455,3543.43467,3597.380336,-0.296696008
01/28/2009,EUSX5ED,3580.738491,3725.943095,3580.738491,3712.883632,3.690443773
01/29/2009,EUSX5ED,3665.587815,3670.553705,3571.09313,3600.507695,-1.775434769
01/30/2009,EUSX5ED,3554.576857,3579.039096,3488.318417,3512.293924,-1.18953492
02/02/2009,EUSX5ED,3536.809326,3536.809326,3445.049505,3511.242415,-0.722880686
02/03/2009,EUSX5ED,3553.790556,3610.938002,3500.48185,3605.669772,1.459827623
02/04/2009,EUSX5ED,3566.429362,3672.551811,3549.818067,3635.073564,1.924731851
02/05/2009,EUSX5ED,3572.324665,3620.141844,3509.219858,3614.231678,1.173102036
02/06/2009,EUSX5ED,3655.185538,3735.79131,3626.324136,3716.555661,1.678987922
02/09/2009,EUSX5ED,3696.819117,3732.299414,3665.690774,3717.281215,0.553505535
02/10/2009,EUSX5ED,3750.602991,3770.091655,3647.129764,3647.129764,-2.758842444
02/11/2009,EUSX5ED,3620.650433,3645.25793,3592.005767,3633.290612,0.349113499
02/12/2009,EUSX5ED,3613.629819,3613.629819,3507.486802,3543.353064,-1.944769089
02/13/2009,EUSX5ED,3552.080025,3600.396951,3524.865037,3538.091458,-0.393813419
02/17/2009,EUSX5ED,3468.387508,3468.387508,3360.42065,3377.91587,-2.608463956
02/18/2009,EUSX5ED,3366.545455,3377.644269,3284.56917,3349.359684,-0.510486818
02/19/2009,EUSX5ED,3392.037658,3423.488112,3363.523217,3374.565183,-0.515102621
02/20/2009,EUSX5ED,3373.633441,3373.633441,3234.212219,3234.212219,-4.132672512
02/23/2009,EUSX5ED,3229.463151,3276.747141,3151.318297,3163.325921,-2.047932641
02/24/2009,EUSX5ED,3161.251197,3182.748165,3104.500479,3155.920843,-0.168615335
02/25/2009,EUSX5ED,3185.346756,3225.487376,3095.477788,3140.396293,-1.411163897
02/26/2009,EUSX5ED,3168.479821,3251.268145,3156.532142,3224.02297,1.752990455
02/27/2009,EUSX5ED,3235.914811,3235.914811,3128.944821,3188.496289,-1.465382276
03/02/2009,EUSX5ED,3190.042235,3190.042235,3058.463288,3058.463288,-4.124677282
03/03/2009,EUSX5ED,3065.312754,3097.497969,3026.271324,3029.618197,-1.164467059
03/04/2009,EUSX5ED,3034.783309,3131.077815,3034.783309,3131.077815,3.173027409
03/05/2009,EUSX5ED,3133.60337,3133.60337,3001.053143,3001.053143,-4.229961842
03/06/2009,EUSX5ED,3014.918567,3042.947883,2943.908795,2959.674267,-1.832364571
03/09/2009,EUSX5ED,2991.877256,2991.877256,2897.095504,2970.101739,-0.727821198
03/10/2009,EUSX5ED,2943.302484,3127.033609,2929.193051,3116.626076,5.888745463
03/11/2009,EUSX5ED,3168.223066,3270.61541,3116.861904,3188.896222,0.652515805
03/12/2009,EUSX5ED,3165.500165,3245.972268,3099.686365,3239.749092,2.345566993
03/13/2009,EUSX5ED,3249.366464,3318.70989,3227.875597,3240.941254,-0.259287769
03/16/2009,EUSX5ED,3278.083773,3355.656332,3278.083773,3353.759894,2.308547512
03/17/2009,EUSX5ED,3343.735537,3359.454545,3279.38843,3326.033058,-0.529422233
03/18/2009,EUSX5ED,3407.703978,3459.996628,3352.629804,3403.894134,-0.111800935
03/19/2009,EUSX5ED,3433.40678,3538.59322,3431.338983,3456.915254,0.684698205
03/20/2009,EUSX5ED,3422.027323,3466.031371,3383.791533,3459.20054,1.086292215
03/23/2009,EUSX5ED,3440.420561,3545.493992,3440.420561,3540.921228,2.921173902
03/24/2009,EUSX5ED,3527.816435,3576.457919,3488.386349,3524.469848,-0.094862848
03/25/2009,EUSX5ED,3547.422163,3627.870773,3526.765986,3597.556076,1.413249152
03/26/2009,EUSX5ED,3581.035631,3595.637696,3546.503497,3591.358641,0.288268853
03/27/2009,EUSX5ED,3564.330579,3575.289256,3477.669421,3502.082645,-1.746413036
03/30/2009,EUSX5ED,3506.6,3506.6,3351.016667,3351.016667,-4.436871423
03/31/2009,EUSX5ED,3376.505017,3463.812709,3376.505017,3463.428094,2.574350593
04/01/2009,EUSX5ED,3444.779853,3507.988659,3371.46431,3498.282188,1.553142354
04/02/2009,EUSX5ED,3518.813531,3703.29945,3518.813531,3693.534411,4.965335
04/03/2009,EUSX5ED,3665.201526,3714.728811,3627.168685,3646.956378,-0.497793868
04/06/2009,EUSX5ED,3672.762,3723.932902,3584.304933,3620.212589,-1.43078725
04/07/2009,EUSX5ED,3582.315271,3601.937603,3513.513957,3555.92775,-0.736605199
04/08/2009,EUSX5ED,3524.159423,3596.752501,3481.220272,3586.665573,1.773647076
04/09/2009,EUSX5ED,3546.718271,3639.622642,3539.993549,3625.044348,2.208409872
04/13/2009,EUSX5ED,3666.432882,3666.432882,3666.432882,3666.432882,0
04/14/2009,EUSX5ED,3633.639736,3707.3214,3618.690534,3674.64925,1.12860706
04/15/2009,EUSX5ED,3602.62697,3624.582073,3570.434644,3602.865786,0.006628926
04/16/2009,EUSX5ED,3620.277601,3697.910019,3597.878111,3670.245692,1.380228187
04/17/2009,EUSX5ED,3650.981945,3707.871397,3633.623693,3707.871397,1.558195928
04/20/2009,EUSX5ED,3740.486478,3748.327732,3585.917747,3599.679949,-3.764390805
04/21/2009,EUSX5ED,3597.452331,3638.984137,3502.691876,3594.984778,-0.068591688
04/22/2009,EUSX5ED,3617.260849,3689.33699,3578.512663,3687.191482,1.933248303
04/23/2009,EUSX5ED,3647.063556,3697.296862,3621.367659,3635.623492,-0.313678777
04/27/2009,EUSX5ED,3662.436387,3693.686387,3609.239822,3685.368957,0.626156131
04/28/2009,EUSX5ED,3688.945933,3692.828494,3610.652976,3658.783892,-0.817633039
04/29/2009,EUSX5ED,3654.593386,3744.432018,3654.593386,3729.972839,2.062594812
04/30/2009,EUSX5ED,3700.853081,3792.559242,3700.853081,3752.511848,1.39586108
05/01/2009,EUSX5ED,3737.161737,3737.161737,3737.161737,3737.161737,0
05/04/2009,EUSX5ED,3737.087134,3809.940233,3731.676628,3805.489148,1.830356391
05/05/2009,EUSX5ED,3793.310356,3819.301269,3758.561805,3771.815761,-0.566644777
05/06/2009,EUSX5ED,3728.025478,3822.85226,3719.636477,3786.34457,1.564342655
05/07/2009,EUSX5ED,3831.045291,3900.532832,3761.056261,3770.694249,-1.575315288
05/08/2009,EUSX5ED,3797.566719,3898.649922,3797.566719,3865.604396,1.79161241
05/11/2009,EUSX5ED,3900.538571,3905.845082,3822.635831,3854.886742,-1.170398106
05/12/2009,EUSX5ED,3842.059337,3892.321117,3818.039029,3846.327146,0.111081288
05/13/2009,EUSX5ED,3876.697013,3894.777192,3758.648778,3765.053506,-2.879861569
05/14/2009,EUSX5ED,3755.179569,3769.050279,3701.596169,3756.632083,0.03868028
05/15/2009,EUSX5ED,3760.38486,3784.828244,3716.58715,3759.701018,-0.018185432
05/18/2009,EUSX5ED,3697.459766,3822.562322,3657.715368,3822.562322,3.383473085
05/19/2009,EUSX5ED,3834.194768,3900.141822,3834.194768,3875.811535,1.085410862
05/20/2009,EUSX5ED,3859.141644,3929.633705,3853.812294,3910.02987,1.31864103
