Date,Ticker,Open,High,Low,Returns
01/02/2009,IGHKG10D,,,,0.192732918
01/05/2009,IGHKG10D,,,,0.198141275
01/06/2009,IGHKG10D,,,,0.208103976
01/07/2009,IGHKG10D,,,,0.221481379
01/08/2009,IGHKG10D,,,,0.21329682
01/09/2009,IGHKG10D,,,,0.199883503
01/12/2009,IGHKG10D,,,,0.20067152
01/13/2009,IGHKG10D,,,,0.197147055
01/14/2009,IGHKG10D,,,,0.208510981
01/15/2009,IGHKG10D,,,,0.202862999
01/16/2009,IGHKG10D,,,,0.21889234
01/19/2009,IGHKG10D,,,,0.214641563
01/20/2009,IGHKG10D,,,,0.220404565
01/21/2009,IGHKG10D,,,,0.21924502
01/22/2009,IGHKG10D,,,,0.224408686
01/23/2009,IGHKG10D,,,,0.226089166
01/29/2009,IGHKG10D,,,,0.234352807
01/30/2009,IGHKG10D,,,,0.25892631
02/02/2009,IGHKG10D,,,,0.267203103
02/03/2009,IGHKG10D,,,,0.267096733
02/04/2009,IGHKG10D,,,,0.268594056
02/05/2009,IGHKG10D,,,,0.26738733
02/06/2009,IGHKG10D,,,,0.256410256
02/09/2009,IGHKG10D,,,,0.258921006
02/10/2009,IGHKG10D,,,,0.265637562
02/11/2009,IGHKG10D,,,,0.252187009
02/12/2009,IGHKG10D,,,,0.244685118
02/13/2009,IGHKG10D,,,,0.239551478
02/16/2009,IGHKG10D,,,,0.264796508
02/17/2009,IGHKG10D,,,,0.258837354
02/18/2009,IGHKG10D,,,,0.256977065
02/19/2009,IGHKG10D,,,,0.264312171
02/20/2009,IGHKG10D,,,,0.268054547
02/23/2009,IGHKG10D,,,,0.26018647
02/24/2009,IGHKG10D,,,,0.257857601
02/25/2009,IGHKG10D,,,,0.284811153
02/26/2009,IGHKG10D,,,,0.312409136
02/27/2009,IGHKG10D,,,,0.319534983
03/02/2009,IGHKG10D,,,,0.324299128
03/03/2009,IGHKG10D,,,,0.320649636
03/04/2009,IGHKG10D,,,,0.318075773
03/05/2009,IGHKG10D,,,,0.329043629
03/06/2009,IGHKG10D,,,,0.309863833
03/09/2009,IGHKG10D,,,,0.312400489
03/10/2009,IGHKG10D,,,,0.323956233
03/11/2009,IGHKG10D,,,,0.327988459
03/12/2009,IGHKG10D,,,,0.307806446
03/13/2009,IGHKG10D,,,,0.306934756
03/16/2009,IGHKG10D,,,,0.310658899
03/17/2009,IGHKG10D,,,,0.321152806
03/18/2009,IGHKG10D,,,,0.330156077
03/19/2009,IGHKG10D,,,,0.29816367
03/20/2009,IGHKG10D,,,,0.299423262
03/23/2009,IGHKG10D,,,,0.305988658
03/24/2009,IGHKG10D,,,,0.304920635
03/25/2009,IGHKG10D,,,,0.303970223
03/26/2009,IGHKG10D,,,,0.309774579
03/27/2009,IGHKG10D,,,,0.308977504
03/30/2009,IGHKG10D,,,,0.31483623
03/31/2009,IGHKG10D,,,,0.317349182
04/01/2009,IGHKG10D,,,,0.311692533
04/02/2009,IGHKG10D,,,,0.306717121
04/03/2009,IGHKG10D,,,,0.312653748
04/06/2009,IGHKG10D,,,,0.327488932
04/07/2009,IGHKG10D,,,,0.340736719
04/08/2009,IGHKG10D,,,,0.338688321
04/09/2009,IGHKG10D,,,,0.334455561
04/14/2009,IGHKG10D,,,,0.327987194
04/15/2009,IGHKG10D,,,,0.319129111
04/16/2009,IGHKG10D,,,,0.316270938
04/17/2009,IGHKG10D,,,,0.326184023
04/20/2009,IGHKG10D,,,,0.345373435
04/21/2009,IGHKG10D,,,,0.34171111
04/22/2009,IGHKG10D,,,,0.349533848
04/23/2009,IGHKG10D,,,,0.335259933
04/24/2009,IGHKG10D,,,,0.33124678
04/27/2009,IGHKG10D,,,,0.339477001
04/28/2009,IGHKG10D,,,,0.331269789
04/29/2009,IGHKG10D,,,,0.33271719
04/30/2009,IGHKG10D,,,,0.322779447
05/04/2009,IGHKG10D,,,,0.323469728
05/05/2009,IGHKG10D,,,,0.322512136
05/06/2009,IGHKG10D,,,,0.320284162
05/07/2009,IGHKG10D,,,,0.319736723
05/08/2009,IGHKG10D,,,,0.326280491
05/11/2009,IGHKG10D,,,,0.336460985
05/12/2009,IGHKG10D,,,,0.328402544
05/13/2009,IGHKG10D,,,,0.348514911
05/14/2009,IGHKG10D,,,,0.335735763
05/15/2009,IGHKG10D,,,,0.335497013
05/18/2009,IGHKG10D,,,,0.330956848
05/19/2009,IGHKG10D,,,,0.338788358
05/20/2009,IGHKG10D,,,,0.332110389
05/21/2009,IGHKG10D,,,,0.332718003
05/22/2009,IGHKG10D,,,,0.354815874
05/25/2009,IGHKG10D,,,,0.377624001
05/26/2009,IGHKG10D,,,,0.37385331
05/27/2009,IGHKG10D,,,,0.38710331
05/29/2009,IGHKG10D,,,,0.389449535
06/01/2009,IGHKG10D,,,,0.380406462
06/02/2009,IGHKG10D,,,,0.403476708
06/03/2009,IGHKG10D,,,,0.41215187
06/04/2009,IGHKG10D,,,,0.387147935
06/05/2009,IGHKG10D,,,,0.409530686
06/08/2009,IGHKG10D,,,,0.44276349
06/09/2009,IGHKG10D,,,,0.449609531
06/10/2009,IGHKG10D,,,,0.436487492
06/11/2009,IGHKG10D,,,,0.445396572
06/12/2009,IGHKG10D,,,,0.437425989
06/15/2009,IGHKG10D,,,,0.425373352
06/16/2009,IGHKG10D,,,,0.411901659
06/17/2009,IGHKG10D,,,,0.408446385
06/18/2009,IGHKG10D,,,,0.412646904
06/19/2009,IGHKG10D,,,,0.434565947
06/22/2009,IGHKG10D,,,,0.4363891
06/23/2009,IGHKG10D,,,,0.425478199
06/24/2009,IGHKG10D,,,,0.416337011
06/25/2009,IGHKG10D,,,,0.419541857
06/26/2009,IGHKG10D,,,,0.397042635
06/29/2009,IGHKG10D,,,,0.39375252
06/30/2009,IGHKG10D,,,,0.396176298
07/02/2009,IGHKG10D,,,,0.396029195
07/03/2009,IGHKG10D,,,,0.38787679
07/06/2009,IGHKG10D,,,,0.385496012
07/07/2009,IGHKG10D,,,,0.385946434
07/08/2009,IGHKG10D,,,,0.378154426
07/09/2009,IGHKG10D,,,,0.361779963
07/10/2009,IGHKG10D,,,,0.367093741
07/13/2009,IGHKG10D,,,,0.3522121
07/14/2009,IGHKG10D,,,,0.349104205
07/15/2009,IGHKG10D,,,,0.34175014
07/16/2009,IGHKG10D,,,,0.353599446
07/17/2009,IGHKG10D,,,,0.344000115
07/20/2009,IGHKG10D,,,,0.349674323
07/21/2009,IGHKG10D,,,,0.343068086
07/22/2009,IGHKG10D,,,,0.330418985
07/23/2009,IGHKG10D,,,,0.330608742
07/24/2009,IGHKG10D,,,,0.340223824
07/27/2009,IGHKG10D,,,,0.335105121
07/28/2009,IGHKG10D,,,,0.334049319
07/29/2009,IGHKG10D,,,,0.332558958
07/30/2009,IGHKG10D,,,,0.332452572
07/31/2009,IGHKG10D,,,,0.323603884
08/03/2009,IGHKG10D,,,,0.307525077
08/04/2009,IGHKG10D,,,,0.3262706
08/05/2009,IGHKG10D,,,,0.331151435
08/06/2009,IGHKG10D,,,,0.34855903
08/07/2009,IGHKG10D,,,,0.351685158
08/10/2009,IGHKG10D,,,,0.372617593
08/11/2009,IGHKG10D,,,,0.36755927
08/12/2009,IGHKG10D,,,,0.357147873
08/13/2009,IGHKG10D,,,,0.358134837
