Date,Ticker,Open,High,Low,Close,Returns
01/02/2009,_HSCID,312.1693039,324.053178,311.5812254,324.053178,3.806868246
01/05/2009,_HSCID,323.1803975,327.6814864,318.8909149,327.6814864,1.392748103
01/06/2009,_HSCID,327.6850306,328.2568807,322.0840826,324.3608716,-1.014437253
01/07/2009,_HSCID,331.7142813,331.8454878,315.7305799,315.8154682,-4.792923912
01/08/2009,_HSCID,306.2117754,306.2117754,297.325407,298.7250875,-2.44493797
01/09/2009,_HSCID,303.3124866,305.956651,299.2366412,300.9580306,-0.776247631
01/12/2009,_HSCID,307.0666499,307.0666499,296.7867453,298.261579,-2.867478744
01/13/2009,_HSCID,299.8673049,303.783391,294.2088211,294.5958327,-1.75793494
01/14/2009,_HSCID,303.1453624,308.62682,301.7327649,302.3489663,-0.262710965
01/15/2009,_HSCID,291.6869745,294.8146475,286.6807611,293.927021,0.767962465
01/16/2009,_HSCID,294.1510679,297.8770662,291.5726288,294.7047368,0.188226024
01/19/2009,_HSCID,299.0942029,301.2115036,292.6031962,297.4217133,-0.55918491
01/20/2009,_HSCID,291.0711662,296.3543452,289.6067003,292.3788999,0.449283166
01/21/2009,_HSCID,281.6222513,286.0734916,279.7178131,282.3940585,0.274057604
01/22/2009,_HSCID,286.9894662,288.2351202,283.2816337,283.5675973,-1.192332592
01/23/2009,_HSCID,276.8337991,279.9838054,275.2000349,276.8496761,0.005735227
01/29/2009,_HSCID,294.0914686,294.0914686,286.535366,287.2044945,-2.341779624
01/30/2009,_HSCID,284.1051532,293.2609363,283.1175614,290.8188782,2.363112713
02/02/2009,_HSCID,292.9921298,293.8945614,283.5510603,285.83519,-2.442707165
02/03/2009,_HSCID,286.2622347,287.7462819,281.487527,282.3407748,-1.369883771
02/04/2009,_HSCID,287.8202376,289.9670817,287.1141644,289.33257,0.525443395
02/05/2009,_HSCID,289.7655194,298.0335426,288.581178,291.8019235,0.702776543
02/06/2009,_HSCID,297.1355402,299.7850074,292.6175345,299.7850074,0.891669593
02/09/2009,_HSCID,301.9018925,301.9018925,295.0161629,299.345636,-0.846717605
02/10/2009,_HSCID,307.2648336,310.6673099,304.5232352,309.0046631,0.566231265
